category,price_count,price_mean,price_std,price_min,price_25%,price_50%,price_75%,price_max,star_count,star_mean,star_std,star_min,star_25%,star_50%,star_75%,star_max,review_count,review_mean,review_std,review_min,review_25%,review_50%,review_75%,review_max,ask_count,ask_mean,ask_std,ask_min,ask_25%,ask_50%,ask_75%,ask_max
/Sports & Outdoors,100.0,29.753499999999995,23.954940186596886,5.99,14.365,21.74,40.9825,129.21,97.0,4.343298969072165,0.2561360382747667,3.1,4.2,4.4,4.5,4.8,98.0,2160.561224489796,2406.6670672325195,1.0,522.0,1343.5,2717.0,11521.0,97.0,153.44329896907217,171.99957419231237,3.0,41.0,89.0,233.0,1000.0
Sports & Outdoors/Fan Shop,100.0,48.72950000000001,41.99696785892327,5.99,21.5325,33.980000000000004,53.7725,199.97,88.0,4.3522727272727275,0.24773793751549342,3.6,4.2,4.4,4.5,5.0,100.0,1396.27,2171.378349451022,14.0,227.75,658.5,1720.0,16750.0,97.0,99.45360824742268,165.75565730783748,3.0,13.0,38.0,118.0,983.0
Sports & Outdoors/Fan Shop/Auto Accessories,99.0,16.789949494949497,10.15848254413345,5.995,9.99,12.665,20.487499999999997,52.495,98.0,4.106122448979591,0.39345582980343785,3.0,3.9,4.1,4.4,5.0,98.0,288.42857142857144,328.09606966227904,12.0,88.0,167.5,356.25,1917.0,83.0,20.566265060240966,27.321122343783905,3.0,6.5,11.0,19.5,150.0
Sports & Outdoors/Fan Shop/Auto Accessories/Air Fresheners,60.0,7.710833333333334,4.290629834713206,0.01,4.03,7.5375,8.780000000000001,22.19,36.0,3.927777777777778,0.9339963631348926,2.0,3.2499999999999996,4.0,5.0,5.0,40.0,14.925,61.222749039878956,1.0,1.0,2.0,5.0,388.0,1.0,7.0,nan,7.0,7.0,7.0,7.0,7.0
Sports & Outdoors/Fan Shop/Auto Accessories/Antenna Toppers,68.0,7.844338235294117,5.043829679827945,0.01,3.64,6.865,11.905000000000001,20.69,19.0,3.357894736842105,1.4357792268674505,1.0,2.95,3.5,4.6,5.0,22.0,7.863636363636363,14.469328659667383,1.0,1.0,2.0,4.75,63.0,1.0,6.0,nan,6.0,6.0,6.0,6.0,6.0
Sports & Outdoors/Fan Shop/Auto Accessories/Car Covers,83.0,22.34234939759036,27.641778949596993,2.8,7.41,12.13,21.95,153.87,12.0,3.091666666666667,1.5894300484097685,1.0,1.6749999999999998,3.6500000000000004,4.425000000000001,5.0,12.0,13.416666666666666,16.919372078039764,1.0,2.5,4.5,23.0,52.0,2.0,39.5,43.1335136523794,9.0,24.25,39.5,54.75,70.0
Sports & Outdoors/Fan Shop/Auto Accessories/Car Flags,97.0,16.574020618556702,8.293362733962049,2.99,11.43,14.025,19.99,47.49,68.0,3.761764705882353,0.9698483358528943,1.2,3.075,3.7,4.625,5.0,77.0,30.07792207792208,67.13689201407553,1.0,2.0,6.0,22.0,418.0,22.0,6.7727272727272725,4.128089817473154,3.0,4.0,5.0,9.5,18.0
Sports & Outdoors/Fan Shop/Auto Accessories/Car Magnets,97.0,12.53582474226804,8.749551318270447,3.5,7.5,9.87,15.59,68.99,76.0,4.019736842105263,1.005719607954703,1.0,3.575,4.3,4.7,5.0,76.0,23.17105263157895,40.58616781052209,1.0,3.0,10.0,18.25,232.0,16.0,5.25,3.8384024454626084,3.0,3.0,4.0,5.25,16.0
Sports & Outdoors/Fan Shop/Auto Accessories/Decals & Bumper Stickers,100.0,16.508349999999997,49.822545614841175,1.75,7.9350000000000005,10.302499999999998,12.865,500.79,95.0,3.9010526315789464,0.564083654736488,2.3,3.6,3.9,4.25,5.0,96.0,86.03125,104.6214683740237,1.0,15.0,49.0,114.5,616.0,70.0,12.814285714285715,10.621679849050949,3.0,5.25,10.0,16.0,59.0
Sports & Outdoors/Fan Shop/Auto Accessories/Decals & Bumper Stickers/Bumper Stickers,98.0,11.448112244897958,10.483997981098792,1.75,6.6362499999999995,8.49,11.282499999999999,65.47,66.0,4.366666666666666,0.809621627358842,1.0,4.0,4.6,5.0,5.0,66.0,20.106060606060606,44.99303494401321,1.0,1.0,5.0,13.75,259.0,11.0,7.090909090909091,6.30007214965901,3.0,3.0,6.0,7.0,25.0
Sports & Outdoors/Fan Shop/Auto Accessories/Decals & Bumper Stickers/Decals,100.0,16.73505,49.79437362995437,2.38,8.35875,10.68,12.99,500.79,97.0,3.9020618556701026,0.5891341424503314,2.3,3.6,3.9,4.2,5.0,98.0,78.28571428571429,100.84099968016405,1.0,13.0,41.5,106.5,616.0,71.0,12.408450704225352,10.471154206797607,3.0,5.0,9.0,15.5,59.0
Sports & Outdoors/Fan Shop/Auto Accessories/Emblems,98.0,14.068724489795919,5.5612220209779935,5.99,10.15,12.99,15.215,34.95,74.0,3.962162162162162,0.7906478534326941,2.0,3.525,3.9,4.574999999999999,5.0,75.0,47.64,103.10787318877989,1.0,4.0,14.0,32.0,616.0,25.0,11.68,11.145701712618486,3.0,5.0,8.0,14.0,53.0
Sports & Outdoors/Fan Shop/Auto Accessories/Floormats,100.0,26.551149999999996,17.353144532887775,10.0,17.2075,23.405,27.99,115.38,88.0,4.3909090909090915,0.45979414775224137,3.1,4.0,4.45,4.8,5.0,88.0,41.35227272727273,61.44206499701307,1.0,7.5,20.0,39.25,345.0,45.0,12.11111111111111,10.196305530173488,3.0,5.0,9.0,16.0,42.0
Sports & Outdoors/Fan Shop/Auto Accessories/Key Chains,98.0,10.172448979591838,8.833214533351686,3.89,7.50875,8.782499999999999,10.99,92.68,99.0,4.2272727272727275,0.4622081388685877,2.4,4.0,4.3,4.5,5.0,99.0,136.989898989899,206.90377803780245,1.0,17.0,47.0,131.5,870.0,33.0,7.666666666666667,7.4693819467655205,3.0,3.0,6.0,8.0,33.0
Sports & Outdoors/Fan Shop/Auto Accessories/License Plate Covers,95.0,18.458526315789474,8.47539915816698,5.99,11.094999999999999,19.65,24.99,52.495,80.0,4.4,0.644941367171162,1.0,4.1,4.55,5.0,5.0,81.0,46.01234567901235,119.8257582729148,1.0,4.0,13.0,36.0,942.0,14.0,7.928571428571429,5.889551187213945,3.0,4.0,6.5,8.75,24.0
Sports & Outdoors/Fan Shop/Auto Accessories/License Plate Frames,95.0,17.490210526315792,7.246874194679044,5.99,11.99,15.71,21.53,52.495,88.0,4.204545454545455,0.6158647953780099,1.0,4.0,4.3,4.4,5.0,92.0,105.8695652173913,199.99682510619047,1.0,18.75,40.0,99.25,1429.0,43.0,6.604651162790698,6.184233158312166,3.0,3.0,4.0,7.0,34.0
Sports & Outdoors/Fan Shop/Auto Accessories/Mirror Covers,37.0,13.471351351351352,8.444986402910626,0.01,9.47,12.92,15.99,39.99,27.0,3.4444444444444446,1.2413805383626895,1.0,2.75,3.1,4.85,5.0,29.0,11.931034482758621,38.01872756050887,1.0,1.0,2.0,5.0,206.0,4.0,11.75,6.18465843842649,8.0,8.75,9.0,12.0,21.0
Sports & Outdoors/Fan Shop/Auto Accessories/Seat Covers,95.0,35.57978947368421,47.036600947332616,11.34,19.89,27.43,39.99,469.99,54.0,3.94074074074074,0.89769485056113,1.0,3.525,4.0,4.574999999999999,5.0,62.0,16.338709677419356,25.38228603198327,1.0,2.0,5.0,14.0,91.0,32.0,16.34375,21.496600443911156,3.0,5.0,7.5,11.75,66.0
Sports & Outdoors/Fan Shop/Auto Accessories/Splashguards,18.0,39.18277777777778,23.14524720759434,9.43,22.849999999999998,34.995,48.8675,91.8,11.0,3.1090909090909093,1.648304914422417,1.0,1.5,3.0,4.65,5.0,12.0,9.916666666666666,29.33027704463685,1.0,1.0,1.0,1.5,103.0,1.0,93.0,nan,93.0,93.0,93.0,93.0,93.0
Sports & Outdoors/Fan Shop/Auto Accessories/Steering Wheel Covers,98.0,23.67408163265306,10.915550959807481,2.41,14.99,22.0675,29.46875,70.265,76.0,3.922368421052632,0.6124483508477595,2.0,3.6,4.0,4.3,5.0,79.0,60.22784810126582,162.05332688038922,1.0,5.0,14.0,45.0,1323.0,30.0,23.3,33.02157079745049,3.0,4.0,10.0,21.5,150.0
Sports & Outdoors/Fan Shop/Auto Accessories/Tire Covers,93.0,58.42172043010753,55.063999816688714,6.99,38.995,44.86,56.34,257.49,71.0,4.323943661971831,0.7286905650808354,1.0,4.0,4.4,5.0,5.0,71.0,14.366197183098592,24.743968636890497,1.0,2.0,5.0,13.0,116.0,29.0,8.931034482758621,6.56250733051432,3.0,4.0,6.0,13.0,31.0
